name,position,alphavetical value,name score
ALLENA,136,45,6120
ALLENE,137,49,6713
ALLIE,138,39,5382
ALLINE,139,53,7367
ALLISON,140,82,11480
ALLYN,141,64,9024
ALLYSON,142,98,13916
ALMA,143,27,3861
ALMEDA,144,36,5184
ALMETA,145,52,7540
ALONA,146,43,6278
ALONSO,147,76,11172
ALONZO,148,83,12284
ALPHA,149,38,5662
ALPHONSE,150,90,13500
ALPHONSO,151,100,15100
ALTA,152,34,5168
ALTAGRACIA,153,73,11169
ALTHA,154,42,6468
ALTHEA,155,47,7285
ALTON,156,62,9672
ALVA,157,36,5652
ALVARO,158,69,10902
ALVERA,159,59,9381
ALVERTA,160,79,12640
ALVIN,161,58,9338
ALVINA,162,59,9558
ALYCE,163,46,7498
ALYCIA,164,51,8364
ALYSA,165,58,9570
ALYSE,166,62,10292
ALYSHA,167,66,11022
ALYSIA,168,67,11256
ALYSON,169,86,14534
ALYSSA,170,77,13090
AMADA,171,20,3420
AMADO,172,34,5848
AMAL,173,27,4671
AMALIA,174,37,6438
AMANDA,175,34,5950
AMBER,176,39,6864
AMBERLY,177,76,13452
AMBROSE,178,73,12994
AMEE,179,24,4296
AMELIA,180,41,7380
AMERICA,181,50,9050
AMI,182,23,4186
AMIE,183,28,5124
AMIEE,184,33,6072
AMINA,185,38,7030
AMIRA,186,42,7812
AMMIE,187,41,7667
AMOS,188,48,9024
AMPARO,189,64,12096
AMY,190,39,7410
AN,191,15,2865
ANA,192,16,3072
ANABEL,193,35,6755
ANALISA,194,57,11058
ANAMARIA,195,58,11310
ANASTACIA,196,69,13524
ANASTASIA,197,85,16745
ANDERA,198,43,8514
ANDERSON,199,90,17910
ANDRA,200,38,7600
ANDRE,201,42,8442
ANDREA,202,43,8686
ANDREAS,203,62,12586
ANDREE,204,47,9588
ANDRES,205,61,12505
ANDREW,206,65,13390
ANDRIA,207,47,9729
ANDY,208,44,9152
ANETTE,209,65,13585
ANGEL,210,39,8190
ANGELA,211,40,8440
ANGELE,212,44,9328
ANGELENA,213,59,12567
ANGELES,214,63,13482
ANGELIA,215,49,10535
ANGELIC,216,51,11016
ANGELICA,217,52,11284
ANGELIKA,218,60,13080
ANGELINA,219,63,13797
ANGELINE,220,67,14740
ANGELIQUE,221,91,20111
ANGELITA,222,69,15318
ANGELLA,223,52,11596
ANGELO,224,54,12096
ANGELYN,225,78,17550
ANGIE,226,36,8136
ANGILA,227,44,9988
ANGLA,228,35,7980
ANGLE,229,39,8931
ANGLEA,230,40,9200
ANH,231,23,5313
ANIBAL,232,39,9048
ANIKA,233,36,8388
ANISA,234,44,10296
ANISHA,235,52,12220
ANISSA,236,63,14868
ANITA,237,45,10665
ANITRA,238,63,14994
ANJA,239,26,6214
ANJANETTE,240,90,21600
ANJELICA,241,55,13255
ANN,242,29,7018
ANNA,243,30,7290
ANNABEL,244,49,11956
ANNABELL,245,61,14945
ANNABELLE,246,66,16236
ANNALEE,247,52,12844
ANNALISA,248,71,17608
ANNAMAE,249,49,12201
ANNAMARIA,250,72,18000
ANNAMARIE,251,76,19076
ANNE,252,34,8568
ANNELIESE,253,84,21252
ANNELLE,254,63,16002
ANNEMARIE,255,80,20400
ANNETT,256,74,18944
ANNETTA,257,75,19275
ANNETTE,258,79,20382
ANNICE,259,46,11914
ANNIE,260,43,11180
ANNIKA,261,50,13050
ANNIS,262,57,14934
ANNITA,263,59,15517
ANNMARIE,264,75,19800
ANTHONY,265,97,25705
ANTIONE,266,78,20748
ANTIONETTE,267,123,32841
ANTOINE,268,78,20904
ANTOINETTE,269,123,33087
ANTON,270,64,17280
ANTONE,271,69,18699
ANTONETTA,272,110,29920
ANTONETTE,273,114,31122
ANTONIA,274,74,20276
ANTONIETTA,275,119,32725
ANTONINA,276,88,24288
ANTONIO,277,88,24376
ANTONY,278,89,24742
ANTWAN,279,73,20367
ANYA,280,41,11480
APOLONIA,281,83,23323
APRIL,282,56,15792
APRYL,283,72,20376
ARA,284,20,5680
ARACELI,285,49,13965
ARACELIS,286,68,19448
ARACELY,287,65,18655
ARCELIA,288,49,14112
ARCHIE,289,44,12716
ARDATH,290,52,15080
ARDELIA,291,50,14550
ARDELL,292,52,15184
ARDELLA,293,53,15529
ARDELLE,294,57,16758
ARDEN,295,42,12390
ARDIS,296,51,15096
ARDITH,297,60,17820
ARETHA,298,53,15794
ARGELIA,299,53,15847
ARGENTINA,300,89,26700
ARIANA,301,44,13244
ARIANE,302,48,14496
ARIANNA,303,58,17574
ARIANNE,304,62,18848
ARICA,305,32,9760
ARIE,306,33,10098
ARIEL,307,45,13815
ARIELLE,308,62,19096
ARLA,309,32,9888
ARLEAN,310,51,15810
ARLEEN,311,55,17105
ARLEN,312,50,15600
ARLENA,313,51,15963
ARLENE,314,55,17270
ARLETHA,315,65,20475
ARLETTA,316,77,24332
ARLETTE,317,81,25677
ARLIE,318,45,14310
ARLINDA,319,59,18821
ARLINE,320,59,18880
ARLYNE,321,75,24075
ARMAND,322,51,16422
ARMANDA,323,52,16796
ARMANDINA,324,75,24300
ARMANDO,325,66,21450
ARMIDA,326,46,14996
ARMINDA,327,60,19620
ARNETTA,328,79,25912
ARNETTE,329,83,27307
ARNITA,330,63,20790
ARNOLD,331,64,21184
ARNOLDO,332,79,26228
ARNULFO,333,87,28971
ARON,334,48,16032
ARRON,335,66,22110
ART,336,39,13104
ARTHUR,337,86,28982
ARTIE,338,53,17914
ARTURO,339,93,31527
ARVILLA,340,75,25500
ASA,341,21,7161
ASHA,342,29,9918
ASHANTI,343,72,24696
ASHELY,344,70,24080
ASHLEA,345,46,15870
ASHLEE,346,50,17300
ASHLEIGH,347,69,23943
ASHLEY,348,70,24360
ASHLI,349,49,17101
ASHLIE,350,54,18900
ASHLY,351,65,22815
ASHLYN,352,79,27808
ASHTON,353,77,27181
ASIA,354,30,10620
ASLEY,355,62,22010
ASSUNTA,356,95,33820
ASTRID,357,71,25347
ASUNCION,358,96,34368
ATHENA,359,49,17591
AUBREY,360,72,25920
AUDIE,361,40,14440
AUDRA,362,45,16290
AUDREA,363,50,18150
AUDREY,364,74,26936
AUDRIA,365,54,19710
AUDRIE,366,58,21228
AUDRY,367,69,25323
AUGUST,368,89,32752
AUGUSTA,369,90,33210
AUGUSTINA,370,113,41810
AUGUSTINE,371,117,43407
AUGUSTUS,372,129,47988
AUNDREA,373,64,23872
AURA,374,41,15334
AUREA,375,46,17250
AURELIA,376,67,25192
AURELIO,377,81,30537
AURORA,378,74,27972
AURORE,379,78,29562
AUSTIN,380,84,31920
AUTUMN,381,90,34290
AVA,382,24,9168
AVELINA,383,64,24512
AVERY,384,71,27264
AVIS,385,51,19635
AVRIL,386,62,23932
AWILDA,387,50,19350
AYAKO,388,53,20564
AYANA,389,42,16338
AYANNA,390,56,21840
AYESHA,391,59,23069
AZALEE,392,50,19600
AZUCENA,393,71,27903
AZZIE,394,67,26398
BABARA,395,25,9875
BABETTE,396,55,21780
BAILEY,397,54,21438
BAMBI,398,27,10746
BAO,399,18,7182
BARABARA,400,44,17600
BARB,401,23,9223
BARBAR,402,42,16884
BARBARA,403,43,17329
BARBERA,404,47,18988
BARBIE,405,37,14985
BARBRA,406,42,17052
BARI,407,30,12210
BARNEY,408,65,26520
BARRETT,409,84,34356
BARRIE,410,53,21730
BARRY,411,64,26304
BART,412,41,16892
BARTON,413,70,28910
BASIL,414,43,17802
BASILIA,415,53,21995
BEA,416,8,3328
BEATA,417,29,12093
BEATRICE,418,63,26334
BEATRIS,419,74,31006
BEATRIZ,420,81,34020
BEAU,421,29,12209
BEAULAH,422,50,21100
BEBE,423,14,5922
BECKI,424,30,12720
BECKIE,425,35,14875
BECKY,426,46,19596
BEE,427,12,5124
BELEN,428,38,16264
BELIA,429,29,12441
BELINDA,430,47,20210
BELKIS,431,58,24998
BELL,432,31,13392
BELLA,433,32,13856
BELLE,434,36,15624
BELVA,435,42,18270
BEN,436,21,9156
BENEDICT,437,62,27094
BENITA,438,51,22338
BENITO,439,65,28535
BENJAMIN,440,68,29920
BENNETT,441,80,35280
BENNIE,442,49,21658
BENNY,443,60,26580
BENTON,444,70,31080
BERENICE,445,61,27145
BERNA,446,40,17840
BERNADETTE,447,94,42018
BERNADINE,448,72,32256
BERNARD,449,62,27838
BERNARDA,450,63,28350
BERNARDINA,451,86,38786
BERNARDINE,452,90,40680
BERNARDO,453,77,34881
BERNEICE,454,61,27694
BERNETTA,455,85,38675
BERNICE,456,56,25536
BERNIE,457,53,24221
BERNIECE,458,61,27938
BERNITA,459,69,31671
BERRY,460,68,31280
BERT,461,45,20745
BERTA,462,46,21252
BERTHA,463,54,25002
BERTIE,464,59,27376
BERTRAM,465,77,35805
BERYL,466,62,28892
BESS,467,45,21015
BESSIE,468,59,27612
BETH,469,35,16415
BETHANIE,470,64,30080
BETHANN,471,64,30144
BETHANY,472,75,35400
BETHEL,473,52,24596
BETSEY,474,76,36024
BETSY,475,71,33725
BETTE,476,52,24752
BETTIE,477,61,29097
BETTINA,478,71,33938
BETTY,479,72,34488
BETTYANN,480,101,48480
BETTYE,481,77,37037
BEULA,482,41,19762
BEULAH,483,49,23667
BEV,484,29,14036
BEVERLEE,485,74,35890
BEVERLEY,486,94,45684
BEVERLY,487,89,43343
BIANCA,488,30,14640
BIBI,489,22,10758
BILL,490,35,17150
BILLI,491,44,21604
BILLIE,492,49,24108
BILLY,493,60,29580
BILLYE,494,65,32110
BIRDIE,495,47,23265
BIRGIT,496,65,32240
BLAINE,497,43,21371
BLAIR,498,42,20916
BLAKE,499,31,15469
BLANCA,500,33,16500
BLANCH,501,40,20040
BLANCHE,502,45,22590
BLONDELL,503,76,38228
BLOSSOM,504,95,47880
BLYTHE,505,72,36360
BO,506,17,8602
BOB,507,19,9633
BOBBI,508,30,15240
BOBBIE,509,35,17815
BOBBY,510,46,23460
BOBBYE,511,51,26061
BOBETTE,512,69,35328
BOK,513,28,14364
BONG,514,38,19532
BONITA,515,61,31415
BONNIE,516,59,30444
BONNY,517,70,36190
BOOKER,518,66,34188
BORIS,519,63,32697
BOYCE,520,50,26000
BOYD,521,46,23966
BRAD,522,25,13050
BRADFORD,523,68,35564
BRADLEY,524,67,35108
BRADLY,525,62,32550
BRADY,526,50,26300
BRAIN,527,44,23188
BRANDA,528,40,21120
BRANDE,529,44,23276
BRANDEE,530,49,25970
BRANDEN,531,58,30798
BRANDI,532,48,25536
BRANDIE,533,53,28249
BRANDON,534,68,36312
BRANDY,535,64,34240
BRANT,536,55,29480
BREANA,537,41,22017
BREANN,538,54,29052
BREANNA,539,55,29645
BREANNE,540,59,31860
BREE,541,30,16230
BRENDA,542,44,23848
BRENDAN,543,58,31494
BRENDON,544,72,39168
BRENNA,545,54,29430
BRENT,546,59,32214
BRENTON,547,88,48136
BRET,548,45,24660
BRETT,549,65,35685
BRIAN,550,44,24200
BRIANA,551,45,24795
BRIANNA,552,59,32568
BRIANNE,553,63,34839
BRICE,554,37,20498
BRIDGET,555,65,36075
BRIDGETT,556,85,47260
BRIDGETTE,557,90,50130
BRIGETTE,558,86,47988
BRIGID,559,49,27391
BRIGIDA,560,50,28000
BRIGITTE,561,90,50490
BRINDA,562,48,26976
BRITANY,563,89,50107
BRITNEY,564,93,52452
BRITNI,565,72,40680
BRITT,566,69,39054
BRITTA,567,70,39690
BRITTANEY,568,114,64752
BRITTANI,569,93,52917
BRITTANIE,570,98,55860
BRITTANY,571,109,62239
BRITTENY,572,113,64636
BRITTNEY,573,113,64749
BRITTNI,574,92,52808
BRITTNY,575,108,62100
BROCK,576,49,28224
BRODERICK,577,85,49045
BRONWYN,578,111,64158
BROOK,579,61,35319
BROOKE,580,66,38280
BROOKS,581,80,46480
BRUCE,582,49,28518
BRUNA,583,56,32648
BRUNILDA,584,81,47304
BRUNO,585,70,40950
BRYAN,586,60,35160
BRYANNA,587,75,44025
BRYANT,588,80,47040
BRYCE,589,53,31217
BRYNN,590,73,43070
BRYON,591,74,43734
BUCK,592,37,21904
BUD,593,27,16011
BUDDY,594,56,33264
BUENA,595,43,25585
BUFFY,596,60,35760
BUFORD,597,66,39402
BULA,598,36,21528
BULAH,599,44,26356
BUNNY,600,76,45600
BURL,601,53,31853
BURMA,602,55,33110
BURT,603,61,36783
BURTON,604,90,54360
BUSTER,605,85,51425
BYRON,606,74,44844
CAITLIN,607,68,41276
CAITLYN,608,84,51072
CALANDRA,609,54,32886
CALEB,610,23,14030
CALISTA,611,65,39715
CALLIE,612,42,25704
CALVIN,613,61,37393
CAMELIA,614,44,27016
CAMELLIA,615,56,34440
CAMERON,616,69,42504
CAMI,617,26,16042
CAMIE,618,31,19158
CAMILA,619,39,24141
CAMILLA,620,51,31620
CAMILLE,621,55,34155
CAMMIE,622,44,27368
CAMMY,623,55,34265
CANDACE,624,31,19344
CANDANCE,625,45,28125
CANDELARIA,626,68,42568
CANDI,627,31,19437
CANDICE,628,39,24492
CANDIDA,629,36,22644
CANDIE,630,36,22680
CANDIS,631,50,31550
CANDRA,632,41,25912
CANDY,633,47,29751
CANDYCE,634,55,34870
CAPRICE,635,55,34925
CARA,636,23,14628
CAREN,637,41,26117
CAREY,638,52,33176
CARI,639,31,19809
CARIDAD,640,40,25600
CARIE,641,36,23076
CARIN,642,45,28890
CARINA,643,46,29578
CARISA,644,51,32844
CARISSA,645,70,45150
CARITA,646,52,33592
CARL,647,34,21998
CARLA,648,35,22680
CARLEE,649,44,28556
CARLEEN,650,58,37700
CARLENA,651,54,35154
CARLENE,652,58,37816
CARLETTA,653,80,52240
CARLEY,654,64,41856
CARLI,655,43,28165
CARLIE,656,48,31488
CARLINE,657,62,40734
CARLITA,658,64,42112
CARLO,659,49,32291
CARLOS,660,68,44880
CARLOTA,661,70,46270
CARLOTTA,662,90,59580
CARLTON,663,83,55029
CARLY,664,59,39176
CARLYN,665,73,48545
CARMA,666,36,23976
CARMAN,667,50,33350
CARMEL,668,52,34736
CARMELA,669,53,35457
CARMELIA,670,62,41540
CARMELINA,671,76,50996
CARMELITA,672,82,55104
CARMELLA,673,65,43745
CARMELO,674,67,45158
CARMEN,675,54,36450
CARMINA,676,59,39884
CARMINE,677,63,42651
CARMON,678,64,43392
CAROL,679,49,33271
CAROLA,680,50,34000
CAROLANN,681,78,53118
CAROLE,682,54,36828
CAROLEE,683,59,40297
CAROLIN,684,72,49248
CAROLINA,685,73,50005
CAROLINE,686,77,52822
CAROLL,687,61,41907
CAROLYN,688,88,60544
CAROLYNE,689,93,64077
CAROLYNN,690,102,70380
CARON,691,51,35241
CAROYLN,692,88,60896
CARRI,693,49,33957
CARRIE,694,54,37476
CARROL,695,67,46565
CARROLL,696,79,54984
CARRY,697,65,45305
CARSON,698,70,48860
CARTER,699,65,45435
CARY,700,47,32900
CARYL,701,59,41359
CARYLON,702,88,61776
CARYN,703,61,42883
CASANDRA,704,61,42944
CASEY,705,53,37365
CASIE,706,37,26122
CASIMIRA,707,73,51611
CASSANDRA,708,80,56640
CASSAUNDRA,709,101,71609
CASSEY,710,72,51120
CASSI,711,51,36261
CASSIDY,712,80,56960
CASSIE,713,56,39928
CASSONDRA,714,94,67116
CASSY,715,67,47905
CATALINA,716,61,43676
CATARINA,717,67,48039
CATERINA,718,71,50978
CATHARINE,719,79,56801
CATHERIN,720,78,56160
CATHERINA,721,79,56959
CATHERINE,722,83,59926
CATHERN,723,69,49887
CATHERYN,724,94,68056
CATHEY,725,62,44950
CATHI,726,41,29766
CATHIE,727,46,33442
CATHLEEN,728,68,49504
CATHRINE,729,78,56862
CATHRYN,730,89,64970
CATHY,731,57,41667
CATINA,732,48,35136
CATRICE,733,59,43247
CATRINA,734,66,48444
CAYLA,735,42,30870
CECELIA,736,38,27968
CECIL,737,32,23584
CECILA,738,33,24354
CECILE,739,37,27343
CECILIA,740,42,31080
CECILLE,741,49,36309
CECILY,742,57,42294
CEDRIC,743,42,31206
CEDRICK,744,53,39432
CELENA,745,40,29800
CELESTA,746,65,48490
CELESTE,747,69,51543
CELESTINA,748,88,65824
CELESTINE,749,92,68908
CELIA,750,30,22500
CELINA,751,44,33044
CELINDA,752,48,36096
CELINE,753,48,36144
CELSA,754,40,30160
CEOLA,755,36,27180
CESAR,756,46,34776
CHAD,757,16,12112
CHADWICK,758,62,46996
CHAE,759,17,12903
CHAN,760,26,19760
CHANA,761,27,20547
CHANCE,762,34,25908
CHANDA,763,31,23653
CHANDRA,764,49,37436
CHANEL,765,43,32895
CHANELL,766,55,42130
CHANELLE,767,60,46020
CHANG,768,33,25344
CHANTAL,769,59,45371
CHANTAY,770,72,55440
CHANTE,771,51,39321
CHANTEL,772,63,48636
CHANTELL,773,75,57975
CHANTELLE,774,80,61920
CHARA,775,31,24025
CHARIS,776,58,45008
CHARISE,777,63,48951
CHARISSA,778,78,60684
CHARISSE,779,82,63878
CHARITA,780,60,46800
CHARITY,781,84,65604
CHARLA,782,43,33626
CHARLEEN,783,66,51678
CHARLENA,784,62,48608
CHARLENE,785,66,51810
CHARLES,786,66,51876
CHARLESETTA,787,112,88144
CHARLETTE,788,92,72496
CHARLEY,789,72,56808
CHARLIE,790,56,44240
CHARLINE,791,70,55370
CHARLOTT,792,97,76824
CHARLOTTE,793,102,80886
CHARLSIE,794,75,59550
CHARLYN,795,81,64395
CHARMAIN,796,67,53332
CHARMAINE,797,72,57384
CHAROLETTE,798,107,85386
CHAS,799,31,24769
CHASE,800,36,28800
CHASIDY,801,69,55269
CHASITY,802,85,68170
CHASSIDY,803,88,70664
CHASTITY,804,105,84420
CHAU,805,33,26565
CHAUNCEY,806,80,64480
CHAYA,807,38,30666
CHELSEA,808,53,42824
CHELSEY,809,77,62293
CHELSIE,810,61,49410
CHER,811,34,27574
CHERE,812,39,31668
CHEREE,813,44,35772
CHERELLE,814,68,55352
CHERI,815,43,35045
CHERIE,816,48,39168
CHERILYN,817,94,76798
CHERISE,818,67,54806
CHERISH,819,70,57330
CHERLY,820,71,58220
CHERLYN,821,85,69785
CHERRI,822,61,50142
CHERRIE,823,66,54318
CHERRY,824,77,63448
CHERRYL,825,89,73425
CHERY,826,59,48734
CHERYL,827,71,58717
CHERYLE,828,76,62928
CHERYLL,829,83,68807
CHESTER,830,78,64740
CHET,831,36,29916
CHEYENNE,832,79,65728
CHI,833,20,16660
CHIA,834,21,17514
CHIEKO,835,51,42585
CHIN,836,34,28424
CHINA,837,35,29295
CHING,838,41,34358
CHIQUITA,839,88,73832
CHLOE,840,43,36120
CHONG,841,47,39527
CHRIS,842,57,47994
CHRISSY,843,101,85143
CHRISTA,844,78,65832
CHRISTAL,845,90,76050
CHRISTEEN,846,101,85446
CHRISTEL,847,94,79618
CHRISTEN,848,96,81408
CHRISTENA,849,97,82353
CHRISTENE,850,101,85850
CHRISTI,851,86,73186
CHRISTIA,852,87,74124
CHRISTIAN,853,101,86153
CHRISTIANA,854,102,87108
CHRISTIANE,855,106,90630
CHRISTIE,856,91,77896
CHRISTIN,857,100,85700
CHRISTINA,858,101,86658
CHRISTINE,859,105,90195
CHRISTINIA,860,110,94600
CHRISTOPER,861,131,112791
CHRISTOPHER,862,139,119818
CHRISTY,863,102,88026
CHRYSTAL,864,106,91584
CHU,865,32,27680
CHUCK,866,46,39836
CHUN,867,46,39882
CHUNG,868,53,46004
CIARA,869,32,27808
CICELY,870,57,49590
CIERA,871,36,31356
CIERRA,872,54,47088
CINDA,873,31,27063
CINDERELLA,874,83,72542
CINDI,875,39,34125
CINDIE,876,44,38544
CINDY,877,55,48235
CINTHIA,878,64,56192
CIRA,879,31,27249
CLAIR,880,43,37840
CLAIRE,881,48,42288
CLARA,882,35,30870
CLARE,883,39,34437
CLARENCE,884,61,53924
CLARETHA,885,68,60180
CLARETTA,886,80,70880
CLARIBEL,887,62,54994
CLARICE,888,51,45288
CLARINDA,889,62,55118
CLARINE,890,62,55180
CLARIS,891,62,55242
CLARISA,892,63,56196
CLARISSA,893,82,73226
CLARITA,894,64,57216
CLARK,895,45,40275
CLASSIE,896,68,60928
CLAUD,897,41,36777
CLAUDE,898,46,41308
CLAUDETTE,899,91,81809
CLAUDIA,900,51,45900
CLAUDIE,901,55,49555
CLAUDINE,902,69,62238
CLAUDIO,903,65,58695
CLAY,904,41,37064
CLAYTON,905,90,81450
CLELIA,906,42,38052
CLEMENCIA,907,65,58955
CLEMENT,908,72,65376
CLEMENTE,909,77,69993
CLEMENTINA,910,96,87360
CLEMENTINE,911,100,91100
CLEMMIE,912,60,54720
CLEO,913,35,31955
CLEOPATRA,914,91,83174
CLEORA,915,54,49410
CLEOTILDE,916,85,77860
CLETA,917,41,37597
CLETUS,918,80,73440
CLEVELAND,919,78,71682
CLIFF,920,36,33120
CLIFFORD,921,73,67233
CLIFTON,922,79,72838
CLINT,923,58,53534
CLINTON,924,87,80388
CLORA,925,49,45325
CLORINDA,926,76,70376
CLOTILDE,927,80,74160
CLYDE,928,49,45472
CODI,929,31,28799
CODY,930,47,43710
COLBY,931,57,53067
COLE,932,35,32620
COLEEN,933,54,50382
COLEMAN,934,63,58842
COLENE,935,54,50490
COLETTA,936,76,71136
COLETTE,937,80,74960
COLIN,938,53,49714
COLLEEN,939,66,61974
COLLEN,940,61,57340
COLLENE,941,66,62106
COLLETTE,942,92,86664
COLLIN,943,65,61295
COLTON,944,79,74576
COLUMBUS,945,106,100170
CONCEPCION,946,97,91762
CONCEPTION,947,114,107958
CONCETTA,948,81,76788
CONCHA,949,44,41756
CONCHITA,950,73,69350
CONNIE,951,60,57060
CONRAD,952,55,52360
CONSTANCE,953,94,89582
CONSUELA,954,90,85860
CONSUELO,955,104,99320
CONTESSA,956,96,91776
CORA,957,37,35409
CORAL,958,49,46942
CORALEE,959,59,56581
CORALIE,960,63,60480
CORAZON,961,92,88412
CORDELIA,962,67,64454
CORDELL,963,69,66447
CORDIA,964,50,48200
CORDIE,965,54,52110
COREEN,966,60,57960
CORENE,967,60,58020
CORETTA,968,82,79376
COREY,969,66,63954
CORI,970,45,43650
CORIE,971,50,48550
CORINA,972,60,58320
CORINE,973,64,62272
CORINNA,974,74,72076
CORINNE,975,78,76050
CORLISS,976,95,92720
CORNELIA,977,77,75229
CORNELIUS,978,116,113448
CORNELL,979,79,77341
CORRIE,980,68,66640
CORRIN,981,77,75537
CORRINA,982,78,76596
CORRINE,983,82,80606
CORRINNE,984,96,94464
CORTEZ,985,87,85695
CORTNEY,986,100,98600
CORY,987,61,60207
COURTNEY,988,121,119548
COY,989,43,42527
CRAIG,990,38,37620
CREOLA,991,54,53514
CRIS,992,49,48608
CRISELDA,993,71,70503
CRISSY,994,93,92442
CRISTA,995,70,69650
CRISTAL,996,82,81672
CRISTEN,997,88,87736
CRISTI,998,78,77844
CRISTIE,999,83,82917
CRISTIN,1000,92,92000
CRISTINA,1001,93,93093
CRISTINE,1002,97,97194
CRISTOBAL,1003,99,99297
CRISTOPHER,1004,131,131524
CRISTY,1005,94,94470
CRUZ,1006,68,68408
CRYSTA,1007,86,86602
CRYSTAL,1008,98,98784
CRYSTLE,1009,102,102918
CUC,1010,27,27270
CURT,1011,62,62682
CURTIS,1012,90,91080
CYNDI,1013,55,55715
CYNDY,1014,71,71994
CYNTHIA,1015,80,81200
CYRIL,1016,67,68072
CYRSTAL,1017,98,99666
CYRUS,1018,86,87548
CYTHIA,1019,66,67254
DACIA,1020,18,18360
DAGMAR,1021,44,44924
DAGNY,1022,51,52122
DAHLIA,1023,35,35805
DAINA,1024,29,29696
DAINE,1025,33,33825
DAISEY,1026,63,64638
DAISY,1027,58,59566
DAKOTA,1028,52,53456
DALE,1029,22,22638
DALENE,1030,41,42230
DALIA,1031,27,27837
DALILA,1032,39,40248
DALLAS,1033,49,50617
DALTON,1034,66,68244
DAMARIS,1035,65,67275
DAMIAN,1036,42,43512
DAMIEN,1037,46,47702
DAMION,1038,56,58128
DAMON,1039,47,48833
DAN,1040,19,19760
DANA,1041,20,20820
DANAE,1042,25,26050
DANE,1043,24,25032
DANELLE,1044,53,55332
DANETTE,1045,69,72105
DANI,1046,28,29288
DANIA,1047,29,30363
DANIAL,1048,41,42968
DANICA,1049,32,33568
DANIEL,1050,45,47250
DANIELA,1051,46,48346
DANIELE,1052,50,52600
DANIELL,1053,57,60021
DANIELLA,1054,58,61132
DANIELLE,1055,62,65410
